Date,Open,High,Low,Close,Adj Close
1994/2/1,48.15625,48.15625,47.90625,47.96875,29.433405
1994/2/2,48.125,48.28125,48.09375,48.28125,29.625149
1994/2/3,48.1875,48.1875,47.90625,48.0625,29.490934
1994/2/4,48.0625,48.125,46.96875,46.96875,28.819815
1994/2/7,46.84375,47.3125,46.84375,47.1875,28.954042
1994/2/8,47.28125,47.28125,47.03125,47.21875,28.973202
1994/2/9,47.25,47.4375,47.1875,47.40625,29.088272
1994/2/10,47.375,47.40625,47,47,28.838985
1994/2/11,47.03125,47.28125,46.8125,47.15625,28.934862
1994/2/14,47.0625,47.375,47,47.21875,28.973202
1994/2/15,47.3125,47.5,47.25,47.46875,29.126585
1994/2/16,47.53125,47.53125,47.34375,47.4375,29.107433
1994/2/17,47.65625,47.6875,47.03125,47.15625,28.934862
1994/2/18,47.1875,47.21875,46.75,46.875,28.762299
1994/2/22,47,47.34375,47,47.34375,29.049919
1994/2/23,47.40625,47.4375,47.0625,47.21875,28.973202
1994/2/24,47.0625,47.0625,46.5625,46.59375,28.589708
1994/2/25,46.65625,46.8125,46.5625,46.8125,28.723936
1994/2/28,46.9375,47.0625,46.8125,46.8125,28.723936
1994/3/1,46.8125,46.90625,46.375,46.625,28.608883
1994/3/2,46.03125,46.6875,45.90625,46.6875,28.64723
1994/3/3,46.625,46.625,46.4375,46.5625,28.570549
1994/3/4,46.5625,46.8125,46.40625,46.6875,28.64723
1994/3/7,46.84375,47,46.84375,46.9375,28.800625
1994/3/8,46.96875,46.96875,46.6875,46.75,28.685579
1994/3/9,46.8125,47,46.59375,46.96875,28.819815
1994/3/10,46.9375,46.9375,46.4375,46.59375,28.589708
1994/3/11,46.65625,46.90625,46.40625,46.84375,28.743099
1994/3/14,47.03125,47.03125,46.84375,46.90625,28.781473
1994/3/15,47,47.09375,46.84375,46.875,28.762299
1994/3/16,46.9375,47.25,46.78125,47.25,28.992378
1994/3/17,47.09375,47.3125,47.09375,47.25,28.992378
1994/3/18,46.75,47.03125,46.71875,46.96875,28.986059
1994/3/21,46.8125,46.9375,46.71875,46.84375,28.908911
1994/3/22,46.84375,47.0625,46.75,46.96875,28.986059
1994/3/23,46.9375,47.0625,46.90625,46.9375,28.96678
1994/3/24,46.75,46.84375,46.15625,46.375,28.619629
1994/3/25,46.40625,46.53125,45.9375,45.9375,28.349644
1994/3/28,46,46.0625,45.59375,46,28.388208
1994/3/29,46,46.03125,45.09375,45.09375,27.828934
1994/3/30,45.125,45.25,44.46875,44.46875,27.44322
1994/3/31,44.46875,44.6875,43.53125,44.59375,27.520372
1994/4/4,43.34375,44.03125,43.34375,43.90625,27.096088
1994/4/5,44.34375,44.8125,44.34375,44.8125,27.655357
1994/4/6,44.875,44.90625,44.5,44.8125,27.655357
1994/4/7,44.78125,45.125,44.53125,45.03125,27.790356
1994/4/8,44.9375,44.9375,44.46875,44.6875,27.578234
1994/4/11,44.8125,45.0625,44.703125,44.875,27.693937
1994/4/12,44.921875,45,44.71875,44.8125,27.655357
1994/4/13,44.796875,44.90625,44.25,44.578125,27.510723
1994/4/14,44.5,44.828125,44.40625,44.59375,27.520372
1994/4/15,44.578125,44.78125,44.515625,44.59375,27.520372
1994/4/18,44.640625,44.765625,44.15625,44.296875,27.337147
1994/4/19,44.25,44.53125,43.984375,44.359375,27.375734
1994/4/20,44.40625,44.515625,44.078125,44.3125,27.346804
1994/4/21,44.5,44.96875,44.34375,44.90625,27.713223
1994/4/22,45.015625,45.046875,44.734375,44.859375,27.684288
1994/4/25,44.84375,45.359375,44.84375,45.328125,27.973581
1994/4/26,45.265625,45.34375,45.1875,45.28125,27.944651
1994/4/28,45.1875,45.25,44.8125,44.953125,27.742149
1994/4/29,44.875,45.15625,44.8125,45.09375,27.828934
